0,0,0,0,0
42,46,45,48,42
42,43,82,43,39
42,41,87,55,40
42,45,73,94,40
45,41,68,105,43
43,39,72,97,44
41,43,69,95,42
42,47,67,100,43
43,43,60,83,44
44,43,62,92,43
40,43,63,92,43
43,44,61,84,42
41,42,59,77,41
43,40,56,79,43
42,41,59,80,41
41,46,58,91,39
41,42,59,85,39
39,44,55,85,43
44,41,59,82,38
43,47,53,79,43
40,44,55,83,41
42,44,52,76,42
43,43,51,73,37
40,43,57,74,44
42,44,57,75,39
43,42,52,62,46
43,41,51,63,42
41,41,53,56,42
40,46,52,57,42
43,45,55,62,45
42,40,54,62,40
41,43,52,57,43
40,41,51,61,42
40,41,51,59,39
43,41,53,58,42
39,42,48,52,42
41,41,53,54,42
39,46,50,58,43
42,44,52,59,43
43,46,54,60,42
43,45,54,58,44
43,44,54,59,43
43,43,49,56,43
44,46,53,57,40
43,43,53,55,41
38,41,50,62,42
47,44,51,58,41
44,47,49,64,41
41,43,49,57,40
40,44,48,57,39
42,41,50,85,42
41,42,52,75,44
42,42,52,100,41
43,40,52,66,45
43,39,38,42,41
44,41,44,40,42
43,45,42,42,45
