1574517107000,40,42,76,121,47
1574517109000,38,46,79,116,42
1574517110000,44,40,79,119,48
1574517111000,49,42,81,121,46
1574517113000,45,41,77,110,48
1574517114000,46,40,70,114,48
1574517116000,47,37,73,120,43
1574517117000,42,46,76,111,44
1574517119000,43,45,79,109,44
1574517120000,42,42,75,125,46
1574517121000,37,38,76,109,44
1574517123000,46,42,72,110,47
1574517124000,49,42,76,106,44
1574517126000,44,49,80,110,45
1574517127000,40,45,80,123,45
1574517128000,49,40,80,109,44
1574517130000,45,42,79,117,44
1574517131000,45,42,80,119,46
1574517133000,43,43,69,115,41
1574517134000,46,45,82,112,46
1574517135000,43,41,76,118,41
1574517137000,40,46,73,115,44
1574517138000,42,42,75,118,44
1574517140000,44,43,82,125,45
1574517141000,39,42,80,113,44
1574517142000,42,38,74,117,46
1574517144000,42,42,80,118,45
1574517145000,39,36,76,125,43
1574517147000,45,41,77,122,45
1574517148000,48,40,78,118,46
1574517150000,43,43,74,118,46
1574517151000,43,41,78,117,47
1574517152000,43,41,77,116,48
1574517154000,46,43,73,123,48
1574517155000,41,42,72,128,42
1574517157000,47,44,78,115,45
1574517158000,49,42,82,123,46
1574517159000,44,43,82,122,44
1574517161000,40,38,80,118,43
1574517162000,39,41,73,121,49
1574517164000,47,43,79,123,42
1574517165000,44,41,67,120,46
1574517166000,49,47,77,110,44
1574517168000,43,37,79,112,45
1574517169000,43,37,80,112,49
1574517171000,46,42,82,113,47
1574517172000,44,37,70,119,42
1574517174000,45,38,81,112,48
1574517175000,48,43,77,119,45
1574517176000,46,49,79,110,42
1574517178000,45,41,79,116,47
1574517179000,46,40,74,114,47
1574517181000,47,43,76,121,42
1574517182000,43,41,77,114,41
1574517183000,42,41,74,117,45
1574517185000,47,36,80,115,50
1574517186000,43,42,82,119,42
1574517188000,44,44,74,113,41
1574517189000,43,46,74,118,44
1574517190000,42,43,79,113,44
1574517192000,39,37,75,120,43
1574517193000,42,42,75,121,42
1574517195000,40,42,76,111,47
1574517196000,38,39,84,117,45
1574517198000,42,42,81,111,43
1574517199000,43,40,77,123,42
1574517200000,46,42,81,116,47
1574517202000,42,47,77,110,44
1574517203000,43,41,76,112,40
1574517205000,45,41,85,126,41
1574517206000,45,46,75,115,45
1574517207000,41,44,74,115,48
1574517209000,40,45,72,121,42
1574517210000,44,42,77,104,42
1574517212000,43,39,79,114,38
1574517213000,45,44,82,119,43
1574517214000,39,47,76,113,42
